customer_id,order_id,product_id,order_date_day,promised_date_day,qty_ordered,plant_id,ship_date_day,delivery_date_day,qty_shipped,batch_id,business_unit,shipped,on_time_delivery,in_full_delivery,otif,backorder,month_index
CUST-00238,ORD-00000694,CM-GAD-A,151,191.3147974672597,637,PLT-IT,179.07860518877567,181.26530556876216,637,BATCH-000018,Diagnostic Imaging EMEA,True,True,True,True,False,5
CUST-00189,ORD-00000712,CM-GAD-A,153,193.6265165500724,530,PLT-IT,180.2594020507611,182.467383045262,530,BATCH-000018,Diagnostic Imaging EMEA,True,True,True,True,False,5
CUST-00006,ORD-00000718,CM-GAD-A,153,192.29731172907609,930,PLT-IT,178.39313034680146,180.59046790074805,930,BATCH-000018,Diagnostic Imaging EMEA,True,True,True,True,False,5
CUST-00059,ORD-00000973,CM-BAR-A,162,193.43418122820145,636,PLT-SG,178.7233942904781,192.8223938855422,636,BATCH-000025,Diagnostic Imaging Americas,True,True,True,True,False,5
CUST-00213,ORD-00000986,CM-BAR-A,163,194.00966537088544,906,PLT-SG,180.16064845420973,185.38858656511934,906,BATCH-000025,Diagnostic Imaging APAC,True,True,True,True,False,5
CUST-00170,ORD-00000989,CM-BAR-A,160,191.3232288171067,694,PLT-SG,180.09172252668978,192.93819867098605,694,BATCH-000025,Diagnostic Imaging EMEA,True,False,True,False,False,5
CUST-00242,ORD-00000990,CM-BAR-A,158,189.7509786348046,546,PLT-SG,178.85002003130668,192.2745203804057,546,BATCH-000025,Diagnostic Imaging EMEA,True,False,True,False,False,5
CUST-00161,ORD-00000993,CM-BAR-A,161,193.05961025016126,494,PLT-SG,180.14236637553935,193.22011686009023,494,BATCH-000025,Diagnostic Imaging EMEA,True,False,True,False,False,5
CUST-00092,ORD-00000996,CM-BAR-A,158,188.61246868834104,604,PLT-SG,179.09756300819282,192.59614951353277,604,BATCH-000025,Diagnostic Imaging EMEA,True,False,True,False,False,5
CUST-00059,ORD-00001013,CM-BAR-A,161,193.2148234299706,429,PLT-SG,178.9579113373962,194.82056870386353,429,BATCH-000025,Diagnostic Imaging Americas,True,False,True,False,False,5
CUST-00156,ORD-00001020,CM-BAR-A,160,191.61292439292006,915,PLT-SG,179.33723155307644,194.06568962567295,915,BATCH-000025,Diagnostic Imaging Americas,True,False,True,False,False,5
CUST-00213,ORD-00002219,CM-GAD-B,158,198.31929123424078,424,PLT-IT,187.015049955769,200.00382802017927,424,BATCH-000055,Diagnostic Imaging APAC,True,False,True,False,False,5
CUST-00237,ORD-00002227,CM-GAD-B,157,196.47617038866633,886,PLT-IT,,,0,BATCH-000055,Diagnostic Imaging APAC,False,False,False,False,True,5
CUST-00063,ORD-00002254,CM-GAD-B,156,196.11902735302945,504,PLT-IT,189.3405960407283,192.81975680831607,504,BATCH-000055,Diagnostic Imaging EMEA,True,True,True,True,False,5
CUST-00048,ORD-00002258,CM-GAD-B,157,196.54258094837772,851,PLT-IT,187.5991737346812,190.07464752216126,851,BATCH-000055,Diagnostic Imaging EMEA,True,True,True,True,False,5
CUST-00065,ORD-00005046,CM-BAR-A,152,184.17976711548926,566,PLT-IT,171.16652980233067,181.7361671075961,566,BATCH-000126,Diagnostic Imaging Americas,True,True,True,True,False,5
CUST-00008,ORD-00005048,CM-BAR-A,151,183.84263220667222,718,PLT-IT,171.7206358283838,173.87437453017478,718,BATCH-000126,Diagnostic Imaging EMEA,True,True,True,True,False,5
CUST-00249,ORD-00005794,CM-BAR-B,153,185.2240778680917,608,PLT-SG,170.46802824956757,182.32361710938218,608,BATCH-000144,Diagnostic Imaging EMEA,True,True,True,True,False,5
CUST-00131,ORD-00005816,CM-BAR-B,156,189.42305694726187,714,PLT-SG,171.1847922246375,182.84144119616886,714,BATCH-000144,Diagnostic Imaging EMEA,True,True,True,True,False,5
CUST-00245,ORD-00005931,CM-IOD-A,177,213.31093621884375,1149,PLT-IT,198.7711920901123,207.3639056391887,1149,BATCH-000147,Diagnostic Imaging Americas,True,True,True,True,False,5
CUST-00175,ORD-00007778,CM-IOD-A,176,212.76083888555632,1621,PLT-IT,193.80482859540268,207.1709580083646,1621,BATCH-000195,Diagnostic Imaging APAC,True,True,True,True,False,5
CUST-00067,ORD-00007783,CM-IOD-A,176,209.99312293323877,769,PLT-IT,195.3920934238002,198.18475031337928,769,BATCH-000195,Diagnostic Imaging EMEA,True,True,True,True,False,5
CUST-00246,ORD-00007784,CM-IOD-A,175,211.4899299493376,899,PLT-IT,194.70086974423032,203.9141867669015,899,BATCH-000195,Diagnostic Imaging Americas,True,True,True,True,False,5
CUST-00153,ORD-00007796,CM-IOD-A,177,214.21512486003064,1772,PLT-IT,195.57676337248805,198.62086391259646,1772,BATCH-000195,Diagnostic Imaging EMEA,True,True,True,True,False,5
CUST-00125,ORD-00007805,CM-IOD-A,176,211.14711062961342,1224,PLT-IT,197.08082636681002,200.45407316374383,1224,BATCH-000195,Diagnostic Imaging EMEA,True,True,True,True,False,5
CUST-00132,ORD-00007826,CM-IOD-A,175,210.94620859487824,1349,PLT-IT,195.0824013269505,197.58689888704356,1349,BATCH-000195,Diagnostic Imaging EMEA,True,True,True,True,False,5
CUST-00178,ORD-00007827,CM-IOD-A,175,210.41145174044166,671,PLT-IT,195.73669473200601,207.2298863187754,671,BATCH-000195,Diagnostic Imaging APAC,True,True,True,True,False,5
CUST-00140,ORD-00007829,CM-IOD-A,176,213.44939562960144,1178,PLT-IT,194.47848716074284,197.94310439520635,1178,BATCH-000195,Diagnostic Imaging EMEA,True,True,True,True,False,5
CUST-00207,ORD-00007989,CM-BAR-A,160,191.65591983740842,429,PLT-IT,182.18478954884037,195.010580409559,429,BATCH-000200,Diagnostic Imaging APAC,True,False,True,False,False,5
CUST-00138,ORD-00008003,CM-BAR-A,156,188.65826652163952,920,PLT-IT,179.9828275025317,184.48183618424872,920,BATCH-000200,Diagnostic Imaging EMEA,True,True,True,True,False,5
CUST-00043,ORD-00008008,CM-BAR-A,161,193.21152706697927,844,PLT-IT,179.48406772021676,182.18750811480083,844,BATCH-000200,Diagnostic Imaging EMEA,True,True,True,True,False,5
CUST-00080,ORD-00008014,CM-BAR-A,161,191.9261412793941,770,PLT-IT,180.27018309309534,191.42053239183298,770,BATCH-000200,Diagnostic Imaging APAC,True,True,True,True,False,5
CUST-00003,ORD-00008342,CM-IOD-B,150,184.82791593443037,1089,PLT-IT,172.9420924085466,175.47721688665382,1089,BATCH-000209,Diagnostic Imaging EMEA,True,True,True,True,False,5
CUST-00043,ORD-00008360,CM-IOD-B,152,187.40093130758794,1342,PLT-IT,173.4256033365611,175.6591189690833,1342,BATCH-000209,Diagnostic Imaging EMEA,True,True,True,True,False,5
CUST-00098,ORD-00008362,CM-IOD-B,151,187.51077778986672,1016,PLT-IT,174.80773923955743,177.12566407814478,1016,BATCH-000209,Diagnostic Imaging EMEA,True,True,True,True,False,5
CUST-00005,ORD-00008364,CM-IOD-B,151,188.3688030697065,627,PLT-IT,176.68360251936986,179.78358154131064,627,BATCH-000209,Diagnostic Imaging EMEA,True,True,True,True,False,5
CUST-00151,ORD-00008368,CM-IOD-B,151,187.48846253777603,893,PLT-IT,174.62962388702894,178.49708769186773,893,BATCH-000209,Diagnostic Imaging EMEA,True,True,True,True,False,5
CUST-00150,ORD-00008380,CM-IOD-B,150,182.92577346905256,947,PLT-IT,176.86076073682662,181.0536562620074,947,BATCH-000209,Diagnostic Imaging EMEA,True,True,True,True,False,5
CUST-00202,ORD-00008429,CM-BAR-A,157,189.33741718664896,769,PLT-NL,172.5677413529621,181.98603267578548,769,BATCH-000211,Diagnostic Imaging Americas,True,True,True,True,False,5
CUST-00083,ORD-00008436,CM-BAR-A,157,191.46813710496696,549,PLT-NL,173.66722292410407,177.099703455368,549,BATCH-000211,Diagnostic Imaging EMEA,True,True,True,True,False,5
CUST-00204,ORD-00008443,CM-BAR-A,155,187.6187328377237,751,PLT-NL,173.34428508757404,174.77931777717836,751,BATCH-000211,Diagnostic Imaging EMEA,True,True,True,True,False,5
CUST-00056,ORD-00008447,CM-BAR-A,154,185.87958193602083,1020,PLT-NL,172.44014211614999,183.38265284035128,1020,BATCH-000211,Diagnostic Imaging APAC,True,True,True,True,False,5
CUST-00258,ORD-00008455,CM-BAR-A,153,186.66822070660726,478,PLT-NL,172.93990170530924,181.64615998807696,478,BATCH-000211,Diagnostic Imaging Americas,True,True,True,True,False,5
CUST-00051,ORD-00008926,CM-GAD-A,173,212.9293728770509,686,PLT-IT,197.60099311967238,205.53937296529185,686,BATCH-000224,Diagnostic Imaging Americas,True,True,True,True,False,5
CUST-00004,ORD-00008938,CM-GAD-A,171,211.18550364069267,797,PLT-IT,197.83700657214084,201.29059203768216,797,BATCH-000224,Diagnostic Imaging EMEA,True,True,True,True,False,5
CUST-00244,ORD-00008950,CM-GAD-A,172,210.7050130302733,615,PLT-IT,196.53680552082923,209.3874196918482,615,BATCH-000224,Diagnostic Imaging APAC,True,True,True,True,False,5
CUST-00088,ORD-00008952,CM-GAD-A,168,209.2860529580324,518,PLT-IT,196.16420150853907,208.043141089088,518,BATCH-000224,Diagnostic Imaging APAC,True,True,True,True,False,5
CUST-00025,ORD-00010224,CM-IOD-B,171,205.90387394110917,1048,PLT-IT,188.8678932770546,190.70943180695272,1048,BATCH-000256,Diagnostic Imaging EMEA,True,True,True,True,False,5
CUST-00259,ORD-00010226,CM-IOD-B,169,205.61899011926968,1339,PLT-IT,190.86291657198618,193.5740347103507,1339,BATCH-000256,Diagnostic Imaging EMEA,True,True,True,True,False,5
CUST-00139,ORD-00013813,CM-IOD-A,177,213.37940167548297,1072,PLT-NL,201.54617346566894,204.15186687673497,1072,BATCH-000350,Diagnostic Imaging EMEA,True,True,True,True,False,5
CUST-00057,ORD-00013819,CM-IOD-A,177,214.18775608278264,934,PLT-NL,200.97346770856734,212.9399513399313,934,BATCH-000350,Diagnostic Imaging APAC,True,True,True,True,False,5
CUST-00011,ORD-00013859,CM-IOD-A,176,212.6009265379427,1045,PLT-NL,200.53485960163889,203.929801737716,1045,BATCH-000350,Diagnostic Imaging EMEA,True,True,True,True,False,5
CUST-00084,ORD-00013906,CM-GAD-B,163,203.81498212166773,646,PLT-NL,186.19770231328263,189.18875163506848,646,BATCH-000352,Diagnostic Imaging EMEA,True,True,True,True,False,5
CUST-00197,ORD-00013907,CM-GAD-B,161,201.92375420463185,720,PLT-NL,190.4885865343349,202.8105011343299,720,BATCH-000352,Diagnostic Imaging APAC,True,False,True,False,False,5
